mass,run_name,cross_section_pb,cross_section_error_pb,status,return_code,note
200,run_01,53.769,0.092687,ok,0,
300,run_02,23.602,0.028686,ok,0,
400,run_03,11.306,0.013245,ok,0,
500,run_04,5.8296,0.0047843,ok,0,
600,run_05,3.196,0.0048634,ok,0,
700,run_06,1.84,0.0016106,ok,0,
800,run_07,1.0984,0.0011916,ok,0,
900,run_08,0.68126,0.00068748,ok,0,
1000,run_09,0.43354,0.00052616,ok,0,
1100,run_10,0.28197,0.00040914,ok,0,
1200,run_11,0.18744,0.00025927,ok,0,
1300,run_12,0.12641,0.0001647,ok,0,
1400,run_13,0.086867,6.8e-05,ok,0,
