mass,run_name,cross_section_pb,cross_section_error_pb,status,return_code,note
200,run_01,79.048,0.11079,ok,0,
300,run_02,36.133,0.046475,ok,0,
400,run_03,18.071,0.021052,ok,0,
500,run_04,9.7104,0.0099748,ok,0,
600,run_05,5.5427,0.0090113,ok,0,
700,run_06,3.3176,0.0033905,ok,0,
800,run_07,2.0606,0.0026506,ok,0,
900,run_08,1.3233,0.001099,ok,0,
1000,run_09,0.87423,0.0011098,ok,0,
1100,run_10,0.58896,0.00084439,ok,0,
1200,run_11,0.40527,0.00056847,ok,0,
1300,run_12,0.28395,0.0004281,ok,0,
1400,run_13,0.20177,0.0002093,ok,0,
