mass,run_name,cross_section_pb,cross_section_error_pb,status,return_code,note
200,run_14,613.21,0.62202,ok,0,
300,run_15,613.08,0.59271,ok,0,
400,run_16,613.56,0.86694,ok,0,
500,run_17,613.07,0.82391,ok,0,
600,run_18,613.38,0.65046,ok,0,
700,run_19,612.87,0.66937,ok,0,
800,run_20,614.43,0.73083,ok,0,
900,run_21,614.11,0.65177,ok,0,
1000,run_22,613.82,0.66694,ok,0,
1100,run_23,613.59,0.7502,ok,0,
1200,run_24,612.99,0.77026,ok,0,
1300,run_25,613.64,0.70422,ok,0,
1400,run_26,613.21,0.8238,ok,0,
