mass,run_name,cross_section_pb,cross_section_error_pb,status,return_code,note
200,run_27,53.812,0.065602,ok,0,
300,run_28,23.582,0.026462,ok,0,
400,run_29,11.305,0.013158,ok,0,
500,run_30,5.8304,0.0055491,ok,0,
600,run_31,3.1932,0.0034515,ok,0,
700,run_32,1.8418,0.0021904,ok,0,
800,run_33,1.1005,0.0011064,ok,0,
900,run_34,0.68111,0.00087404,ok,0,
1000,run_35,0.43279,0.00058942,ok,0,
1100,run_36,0.28152,0.00032915,ok,0,
1200,run_37,0.18738,0.00026174,ok,0,
1300,run_38,0.1265,0.00017156,ok,0,
1400,run_39,0.08683,0.00010854,ok,0,
