mass,run_name,cross_section_pb,cross_section_error_pb,status,return_code,note
200,run_01,25.358,0.04206,ok,0,
300,run_02,12.701,0.022635,ok,0,
400,run_03,6.9511,0.015962,ok,0,
500,run_04,4.1031,0.0097349,ok,0,
600,run_05,2.5581,0.0053278,ok,0,
700,run_06,1.6723,0.0054777,ok,0,
800,run_07,1.1418,0.0029698,ok,0,
900,run_08,0.80247,0.002542,ok,0,
1000,run_09,0.58171,0.0018554,ok,0,
1100,run_10,0.43217,0.0010942,ok,0,
1200,run_11,0.3263,0.0011275,ok,0,
1300,run_12,0.25181,0.000824,ok,0,
1400,run_13,0.19584,0.00054919,ok,0,
