mass,run_name,cross_section_pb,cross_section_error_pb,status,return_code,note
200,run_01,2.9567,0.0056653,ok,0,
300,run_02,0.93015,0.0013811,ok,0,
400,run_03,0.32938,0.00055541,ok,0,
500,run_04,0.12941,0.00024776,ok,0,
600,run_05,0.055071,8.4138e-05,ok,0,
700,run_06,0.025036,4.8108e-05,ok,0,
800,run_07,0.01199,2.3508e-05,ok,0,
900,run_08,0.0060296,1.3909e-05,ok,0,
1000,run_09,0.0031196,7.3382e-06,ok,0,
1100,run_10,0.0016576,3.4917e-06,ok,0,
1200,run_11,0.00090356,2.2207e-06,ok,0,
1300,run_12,0.00050296,1.0517e-06,ok,0,
1400,run_13,0.00028291,8.2772e-07,ok,0,
