mass,run_name,cross_section_pb,cross_section_error_pb,status,return_code,note
200,run_41,46.286,0.061159,ok,0,
300,run_42,23.735,0.03747,ok,0,
400,run_43,13.342,0.023493,ok,0,
500,run_44,8.0111,0.01601,ok,0,
600,run_45,5.1329,0.011487,ok,0,
700,run_46,3.4036,0.0085483,ok,0,
800,run_47,2.3744,0.0044726,ok,0,
900,run_48,1.7064,0.0053217,ok,0,
1000,run_49,1.2439,0.002914,ok,0,
1100,run_50,0.93595,0.0028692,ok,0,
1200,run_51,0.71814,0.0019137,ok,0,
1300,run_52,0.55779,0.0016817,ok,0,
1400,run_53,0.4413,0.0012547,ok,0,
