process,xsec_pb,yield_450fb,yield_3000fb
1,0.000008,3.776577,25.177183
2,0.000008,3.544445,23.629633
3,0.000324,145.658012,971.053413
4,0.000269,120.940234,806.268225
5,0.000000,0.012882,0.085881
6,0.000000,0.013864,0.092426
total,0.000609,273.946014,1826.306761
