cut,efficiency,cross_section_pb,yield_450_fb,yield_3000_fb
I,0.843963,0.000448,201.475898,1343.172653
II,0.797104,0.000423,190.289633,1268.597554
III,0.281437,0.000149,67.186295,447.908631
IV,0.132253,0.000070,31.572342,210.482278
