process,proc_1,proc_2,proc_3,proc_4,proc_5,proc_6,total 450/fb,total 3000/fb
total_events,1000,1000,1000,1000,1000,1000,296.294225,1975.294835
pass_cut_i_bjet,804,808,866,851,895,901,254.369451,1695.796337
pass_cut_ii_met,753,757,844,824,880,871,247.086754,1647.245026
pass_cut_iii_same_sign_dilepton,252,290,284,271,255,262,82.322716,548.818109
pass_cut_iv_mll,182,217,176,176,209,202,52.207499,348.049990
pass_cut_i_bjet_frac,0.804000,0.808000,0.866000,0.851000,0.895000,0.901000,0.858503,0.858503
pass_cut_ii_met_frac,0.753000,0.757000,0.844000,0.824000,0.880000,0.871000,0.833924,0.833924
pass_cut_iii_same_sign_dilepton_frac,0.252000,0.290000,0.284000,0.271000,0.255000,0.262000,0.277841,0.277841
pass_cut_iv_mll_frac,0.182000,0.217000,0.176000,0.176000,0.209000,0.202000,0.176202,0.176202
