cut,efficiency,cross_section_pb,yield_450_fb,yield_3000_fb
I,0.819958,0.000082,36.977239,246.514928
II,0.776303,0.000078,35.008529,233.390193
III,0.299460,0.000030,13.504593,90.030619
IV,0.203642,0.000020,9.183523,61.223487
