proc,total_events,pass_cut_i_bjet,pass_cut_ii_met,pass_cut_iii_same_sign_dilepton,pass_cut_iv_mll
1,10000,8057,7624,3045,2201
2,10000,8149,7674,3031,2070
3,10000,8564,8192,2825,1618
4,10000,8636,8267,2811,1631
5,10000,8955,8660,2719,2174
6,10000,8946,8675,2737,2151
