cut,efficiency,cross_section_pb,yield_450_fb,yield_3000_fb
I,0.861851,0.000640,287.810414,1918.736095
II,0.829391,0.000615,276.970657,1846.471046
III,0.283083,0.000210,94.533949,630.226324
IV,0.166097,0.000123,55.467201,369.781341
