cut,efficiency,cross_section_pb,yield_450_fb,yield_3000_fb
I,0.839502,0.000575,258.950980,1726.339868
II,0.793087,0.000544,244.633962,1630.893080
III,0.287046,0.000197,88.541735,590.278231
IV,0.131873,0.000090,40.677413,271.182750
