proc,total_events,pass_cut_i_bjet,pass_cut_ii_met,pass_cut_iii_same_sign_dilepton,pass_cut_iv_mll
1,10000,8069,7599,2949,1897
2,10000,8083,7594,3103,1923
3,10000,8378,7911,2808,1288
4,10000,8414,7953,2939,1352
5,10000,8703,8242,2796,1802
6,10000,8653,8175,2855,1882
