process,mass,tanphi,cross section pb,cross section error pb,N events (generated),description
1,3.200000e+02,1.000000e+00,7.746021e-08,2.953285e-10,10000,"p p > t t, (t > b w+, w+ > l+ vl), (t > b w+, w+ > l+ vl)"
2,3.200000e+02,1.000000e+00,7.021964e-08,2.045320e-10,10000,"p p > t~ t~, (t~ > b~ w-, w- > l- vl~), (t~ > b~ w-, w- > l- vl~)"
3,3.200000e+02,1.000000e+00,7.394434e-05,2.658110e-07,10000,"p p > h3 t, (h3 > t c~, (t > b w+, w+ > l+ vl)), (t > b w+, w+ > l+ vl)"
4,3.200000e+02,1.000000e+00,6.626694e-05,1.740370e-07,10000,"p p > h3 t~, (h3 > t~ c, (t~ > b~ w-, w- > l- vl~)), (t~ > b~w-, w- > l- vl~)"
5,3.200000e+02,1.000000e+00,1.413879e-10,5.470215e-13,10000,"p p > h3 h3, (h3 > t c~, (t > b w+, w+ > l+ vl)), (h3 > t c~,(t > b w+, w+ > l+ vl))"
6,3.200000e+02,1.000000e+00,1.319037e-10,5.105704e-13,10000,"p p > h3 h3, (h3 > t~ c, (t~ > b~ w-, w- > l- vl~)), (h3 > t~c, (t~ > b~ w-, w- > l- vl~))"
