cut,efficiency,cross_section_pb,yield_450_fb,yield_3000_fb
I,0.851345,0.000119,53.772377,358.482513
II,0.810323,0.000114,51.181347,341.208981
III,0.283575,0.000040,17.911079,119.407196
IV,0.148712,0.000021,9.392922,62.619482
