process,mass,tanphi,cross section pb,cross section error pb,N events (generated),description
1,3.000000e+02,1.337481e+01,1.808865e-04,1.660289e-06,1000,"p p > t t, (t > b w+, w+ > l+ vl), (t > b w+, w+ > l+ vl)"
2,3.000000e+02,1.337481e+01,1.627781e-04,2.259682e-06,1000,"p p > t~ t~, (t~ > b~ w-, w- > l- vl~), (t~ > b~ w-, w- > l- vl~)"
3,3.000000e+02,1.337481e+01,7.129042e-03,6.380264e-05,1000,"p p > h3 t, (h3 > t c~, (t > b w+, w+ > l+ vl)), (t > b w+, w+ > l+ vl)"
4,3.000000e+02,1.337481e+01,6.338423e-03,5.203603e-05,1000,"p p > h3 t~, (h3 > t~ c, (t~ > b~ w-, w- > l- vl~)), (t~ > b~w-, w- > l- vl~)"
5,3.000000e+02,1.337481e+01,1.214251e-06,1.391879e-08,1000,"p p > h3 h3, (h3 > t c~, (t > b w+, w+ > l+ vl)), (h3 > t c~,(t > b w+, w+ > l+ vl))"
6,3.000000e+02,1.337481e+01,1.114872e-06,1.350419e-08,1000,"p p > h3 h3, (h3 > t~ c, (t~ > b~ w-, w- > l- vl~)), (h3 > t~c, (t~ > b~ w-, w- > l- vl~))"
