cut,efficiency,cross_section_pb,yield_450_fb,yield_3000_fb
I,0.844835,0.000516,232.301603,1548.677356
II,0.800447,0.000489,220.096361,1467.309073
III,0.288966,0.000177,79.455939,529.706258
IV,0.137883,0.000084,37.913113,252.754086
