process,proc_1,proc_2,proc_3,proc_4,proc_5,proc_6,total 450/fb,total 3000/fb
total_events,1000,1000,1000,1000,1000,1000,1297.626993,8650.846617
pass_cut_i_bjet,781,809,824,829,846,869,1072.233885,7148.225899
pass_cut_ii_met,741,759,785,776,798,825,1012.988146,6753.254304
pass_cut_iii_same_sign_dilepton,303,296,283,279,260,277,364.815859,2432.105730
pass_cut_iv_mll,183,183,123,117,174,177,156.098704,1040.658028
pass_cut_i_bjet_frac,0.781000,0.809000,0.824000,0.829000,0.846000,0.869000,0.826304,0.826304
pass_cut_ii_met_frac,0.741000,0.759000,0.785000,0.776000,0.798000,0.825000,0.780647,0.780647
pass_cut_iii_same_sign_dilepton_frac,0.303000,0.296000,0.283000,0.279000,0.260000,0.277000,0.281141,0.281141
pass_cut_iv_mll_frac,0.183000,0.183000,0.123000,0.117000,0.174000,0.177000,0.120296,0.120296
