cut,efficiency,cross_section_pb,yield_450_fb,yield_3000_fb
I,0.830968,0.000121,54.599700,363.998000
II,0.786928,0.000115,51.706003,344.706689
III,0.296253,0.000043,19.465629,129.770858
IV,0.188292,0.000027,12.371936,82.479573
