proc,total_events,pass_cut_i_bjet,pass_cut_ii_met,pass_cut_iii_same_sign_dilepton,pass_cut_iv_mll
1,10000,8046,7557,2911,2066
2,10000,8139,7681,3059,2122
3,10000,8613,8222,2933,1636
4,10000,8571,8168,2944,1585
5,10000,8934,8611,2852,2185
6,10000,8846,8536,2812,2149
