process,mass,tanphi,cross section pb,cross section error pb,N events (generated),description
1,6.600000e+02,1.082065e-01,6.583065e-06,5.108288e-08,1000,"p p > t t, (t > b w+, w+ > l+ vl), (t > b w+, w+ > l+ vl)"
2,6.600000e+02,1.082065e-01,5.927979e-06,7.302084e-08,1000,"p p > t~ t~, (t~ > b~ w-, w- > l- vl~), (t~ > b~ w-, w- > l- vl~)"
3,6.600000e+02,1.082065e-01,3.943019e-04,2.969543e-06,1000,"p p > h3 t, (h3 > t c~, (t > b w+, w+ > l+ vl)), (t > b w+, w+ > l+ vl)"
4,6.600000e+02,1.082065e-01,3.369260e-04,2.898999e-06,1000,"p p > h3 t~, (h3 > t~ c, (t~ > b~ w-, w- > l- vl~)), (t~ > b~w-, w- > l- vl~)"
5,6.600000e+02,1.082065e-01,1.056720e-08,1.228669e-10,1000,"p p > h3 h3, (h3 > t c~, (t > b w+, w+ > l+ vl)), (h3 > t c~,(t > b w+, w+ > l+ vl))"
6,6.600000e+02,1.082065e-01,9.583616e-09,1.021135e-10,1000,"p p > h3 h3, (h3 > t~ c, (t~ > b~ w-, w- > l- vl~)), (h3 > t~c, (t~ > b~ w-, w- > l- vl~))"
