cut,efficiency,cross_section_pb,yield_450_fb,yield_3000_fb
I,0.851930,0.000224,100.694111,671.294072
II,0.809785,0.000213,95.712737,638.084913
III,0.292658,0.000077,34.590727,230.604848
IV,0.159363,0.000042,18.835901,125.572671
