proc,total_events,pass_cut_i_bjet,pass_cut_ii_met,pass_cut_iii_same_sign_dilepton,pass_cut_iv_mll
1,10000,8092,7597,2912,1921
2,10000,8092,7583,3042,2015
3,10000,8481,8042,2823,1373
4,10000,8492,8037,2830,1368
5,10000,8797,8378,2955,1972
6,10000,8838,8456,2891,1957
