proc,total_events,pass_cut_i_bjet,pass_cut_ii_met,pass_cut_iii_same_sign_dilepton,pass_cut_iv_mll
1,10000,8023,7518,2936,1960
2,10000,8127,7663,3116,2060
3,10000,8480,8028,2912,1436
4,10000,8458,8017,2815,1372
5,10000,8807,8365,2884,1977
6,10000,8813,8403,2966,2042
