proc,total_events,pass_cut_i_bjet,pass_cut_ii_met,pass_cut_iii_same_sign_dilepton,pass_cut_iv_mll
1,10000,8082,7633,3012,2118
2,10000,8164,7692,3055,2117
3,10000,8446,8046,2772,1480
4,10000,8604,8206,2879,1485
5,10000,8895,8527,2934,2159
6,10000,8872,8513,3022,2193
