cut,efficiency,cross_section_pb,yield_450_fb,yield_3000_fb
I,0.825946,3.040896,1368403.345678,9122688.971190
II,0.778699,2.866945,1290125.391792,8600835.945282
III,0.294202,1.083167,487425.163151,3249501.087672
IV,0.166795,0.614092,276341.258181,1842275.054541
