cut,efficiency,cross_section_pb,yield_450_fb,yield_3000_fb
I,0.849626,0.000337,151.666659,1011.111062
II,0.809215,0.000321,144.452961,963.019741
III,0.286452,0.000114,51.134488,340.896585
IV,0.141841,0.000056,25.320027,168.800181
