process,proc_1,proc_2,proc_3,proc_4,proc_5,proc_6,total 450/fb,total 3000/fb
total_events,1000,1000,1000,1000,1000,1000,467.267631,3115.117543
pass_cut_i_bjet,801,815,836,833,813,834,389.956046,2599.706975
pass_cut_ii_met,735,764,800,787,762,784,370.888462,2472.589748
pass_cut_iii_same_sign_dilepton,310,311,270,310,261,271,135.131920,900.879466
pass_cut_iv_mll,197,190,126,141,172,183,62.253921,415.026140
pass_cut_i_bjet_frac,0.801000,0.815000,0.836000,0.833000,0.813000,0.834000,0.834545,0.834545
pass_cut_ii_met_frac,0.735000,0.764000,0.800000,0.787000,0.762000,0.784000,0.793739,0.793739
pass_cut_iii_same_sign_dilepton_frac,0.310000,0.311000,0.270000,0.310000,0.261000,0.271000,0.289196,0.289196
pass_cut_iv_mll_frac,0.197000,0.190000,0.126000,0.141000,0.172000,0.183000,0.133230,0.133230
