proc,total_events,pass_cut_i_bjet,pass_cut_ii_met,pass_cut_iii_same_sign_dilepton,pass_cut_iv_mll
1,10000,8030,7540,2952,1967
2,10000,8155,7631,3039,2055
3,10000,8467,7986,2834,1384
4,10000,8440,8007,2845,1366
5,10000,8770,8344,2923,1991
6,10000,8820,8383,2945,2003
