cut,efficiency,cross_section_pb,yield_450_fb,yield_3000_fb
I,0.845017,0.010483,4717.318289,31448.788596
II,0.799144,0.009914,4461.234353,29741.562351
III,0.284095,0.003524,1585.964413,10573.096088
IV,0.138257,0.001715,771.819793,5145.465286
