proc,total_events,pass_cut_i_bjet,pass_cut_ii_met,pass_cut_iii_same_sign_dilepton,pass_cut_iv_mll
1,10000,8070,7620,2983,2098
2,10000,8123,7650,3113,2164
3,10000,8555,8158,2890,1565
4,10000,8610,8207,3030,1578
5,10000,8897,8521,2976,2176
6,10000,8845,8490,2940,2162
