proc,total_events,pass_cut_i_bjet,pass_cut_ii_met,pass_cut_iii_same_sign_dilepton,pass_cut_iv_mll
1,10000,8108,7627,2938,2051
2,10000,8114,7659,3089,2200
3,10000,8563,8165,2770,1481
4,10000,8584,8169,2850,1522
5,10000,8902,8555,2933,2194
6,10000,8881,8508,2860,2076
