cut,efficiency,cross_section_pb,yield_450_fb,yield_3000_fb
I,0.835606,0.000637,286.507122,1910.047482
II,0.791044,0.000603,271.227751,1808.185006
III,0.278184,0.000212,95.382003,635.880017
IV,0.125364,0.000096,42.984114,286.560759
