process,mass,tanphi,cross section pb,cross section error pb,N events (generated),description
1,6.600000e+02,9.922578e-02,9.162777e-06,1.092918e-07,1000,"p p > t t, (t > b w+, w+ > l+ vl), (t > b w+, w+ > l+ vl)"
2,6.600000e+02,9.922578e-02,8.246988e-06,7.141989e-08,1000,"p p > t~ t~, (t~ > b~ w-, w- > l- vl~), (t~ > b~ w-, w- > l- vl~)"
3,6.600000e+02,9.922578e-02,4.741476e-04,4.141930e-06,1000,"p p > h3 t, (h3 > t c~, (t > b w+, w+ > l+ vl)), (t > b w+, w+ > l+ vl)"
4,6.600000e+02,9.922578e-02,4.041488e-04,3.211530e-06,1000,"p p > h3 t~, (h3 > t~ c, (t~ > b~ w-, w- > l- vl~)), (t~ > b~w-, w- > l- vl~)"
5,6.600000e+02,9.922578e-02,1.538069e-08,1.296797e-10,1000,"p p > h3 h3, (h3 > t c~, (t > b w+, w+ > l+ vl)), (h3 > t c~,(t > b w+, w+ > l+ vl))"
6,6.600000e+02,9.922578e-02,1.433937e-08,1.566437e-10,1000,"p p > h3 h3, (h3 > t~ c, (t~ > b~ w-, w- > l- vl~)), (h3 > t~c, (t~ > b~ w-, w- > l- vl~))"
