cut,efficiency,cross_section_pb,yield_450_fb,yield_3000_fb
I,0.847859,0.000187,84.276234,561.841561
II,0.803567,0.000177,79.873661,532.491073
III,0.283421,0.000063,28.171714,187.811425
IV,0.141718,0.000031,14.086621,93.910808
