mass,run_name,cross_section_pb,cross_section_error_pb,status,return_code,note
200,run_263,9824.7,15.914,ok,0,
225,run_264,9638.5,15.75,ok,0,
250,run_265,9600.9,16.413,ok,0,
275,run_266,9859.5,16.3,ok,0,
300,run_267,9494.8,16.006,ok,0,
325,run_268,5802.5,9.243,ok,0,
350,run_269,2540.0,4.5367,ok,0,
375,run_270,2259.8,3.5386,ok,0,
400,run_271,2003.3,3.2236,ok,0,
425,run_272,1792.0,3.4326,ok,0,
450,run_273,1602.9,3.5471,ok,0,
475,run_274,1437.2,2.8727,ok,0,
500,run_275,1296.7,2.9133,ok,0,
525,run_276,1176.0,2.653,ok,0,
550,run_277,1060.9,1.7672,ok,0,
575,run_278,965.08,2.033,ok,0,
600,run_279,876.03,2.0864,ok,0,
625,run_280,795.54,1.903,ok,0,
650,run_281,726.94,1.7916,ok,0,
675,run_282,664.62,1.0605,ok,0,
700,run_283,611.39,1.7884,ok,0,
725,run_284,562.35,1.29,ok,0,
750,run_285,514.78,1.5686,ok,0,
775,run_286,475.07,1.0491,ok,0,
800,run_287,438.95,1.2443,ok,0,
825,run_288,405.81,0.73392,ok,0,
850,run_289,374.82,0.88364,ok,0,
875,run_290,349.18,0.75284,ok,0,
900,run_291,322.77,0.87622,ok,0,
925,run_292,299.8,0.91358,ok,0,
950,run_293,279.71,0.78449,ok,0,
975,run_294,259.37,0.74583,ok,0,
1000,run_295,242.85,0.43938,ok,0,
1025,run_296,227.01,0.71471,ok,0,
1050,run_297,212.13,0.50131,ok,0,
1075,run_298,197.82,0.44602,ok,0,
1100,run_299,185.35,0.68719,ok,0,
1125,run_300,173.93,0.40663,ok,0,
1150,run_301,163.37,0.43967,ok,0,
1175,run_302,153.57,0.43587,ok,0,
1200,run_303,144.3,0.36851,ok,0,
1225,run_304,136.47,0.48294,ok,0,
1250,run_305,128.52,0.3883,ok,0,
1275,run_306,121.03,0.36276,ok,0,
1300,run_307,114.06,0.32482,ok,0,
1325,run_308,107.64,0.29901,ok,0,
1350,run_309,101.88,0.24346,ok,0,
1375,run_310,96.439,0.24327,ok,0,
1400,run_311,91.179,0.20199,ok,0,
