mass,run_name,cross_section_pb,cross_section_error_pb,status,return_code,note
200,run_197,5792.5,10.201,ok,0,
225,run_198,5681.5,9.903,ok,0,
250,run_199,5700.2,8.3417,ok,0,
275,run_200,5817.2,8.7339,ok,0,
300,run_201,5623.5,9.9449,ok,0,
325,run_202,3347.6,5.547,ok,0,
350,run_203,1461.9,2.6915,ok,0,
375,run_204,1292.2,2.5978,ok,0,
400,run_205,1151.5,1.4452,ok,0,
425,run_206,1023.3,2.0793,ok,0,
450,run_207,915.12,2.0305,ok,0,
475,run_208,818.5,1.3709,ok,0,
500,run_209,731.47,1.4015,ok,0,
525,run_210,664.24,1.055,ok,0,
550,run_211,596.97,1.2524,ok,0,
575,run_212,540.34,1.2359,ok,0,
600,run_213,490.83,1.0634,ok,0,
625,run_214,445.99,0.99483,ok,0,
650,run_215,407.72,1.0063,ok,0,
675,run_216,370.05,0.83863,ok,0,
700,run_217,339.24,0.63772,ok,0,
725,run_218,310.47,0.63231,ok,0,
750,run_219,285.25,0.73953,ok,0,
775,run_220,263.01,0.71021,ok,0,
800,run_221,240.79,0.59186,ok,0,
825,run_222,222.25,0.65038,ok,0,
850,run_223,204.73,0.50329,ok,0,
875,run_224,189.59,0.37463,ok,0,
900,run_225,175.99,0.48211,ok,0,
925,run_226,162.59,0.38653,ok,0,
950,run_227,151.99,0.42274,ok,0,
975,run_228,140.55,0.36811,ok,0,
1000,run_229,131.47,0.37561,ok,0,
1025,run_230,122.45,0.3398,ok,0,
1050,run_231,114.28,0.34315,ok,0,
1075,run_232,106.81,0.30653,ok,0,
1100,run_233,99.315,0.24604,ok,0,
1125,run_234,93.357,0.26459,ok,0,
1150,run_235,87.312,0.21789,ok,0,
1175,run_236,82.112,0.17351,ok,0,
1200,run_237,77.112,0.23557,ok,0,
1225,run_238,71.964,0.22238,ok,0,
1250,run_239,67.865,0.17313,ok,0,
1275,run_240,63.685,0.16443,ok,0,
1300,run_241,60.295,0.15693,ok,0,
1325,run_242,56.868,0.17336,ok,0,
1350,run_243,53.685,0.18353,ok,0,
1375,run_244,50.708,0.12758,ok,0,
1400,run_245,47.956,0.13416,ok,0,
