cut,efficiency,cross_section_pb,yield_450_fb,yield_3000_fb
I,0.817225,0.000893,401.673963,2677.826419
II,0.775162,0.000847,380.999289,2539.995261
III,0.272509,0.000298,133.940969,892.939794
IV,0.123070,0.000134,60.490079,403.267195
