mass,run_name,cross_section_pb,cross_section_error_pb,status,return_code,note
100,run_09,290280.0,399.44,ok,0,
200,run_10,134060.0,139.43,ok,0,
300,run_11,64530.0,84.209,ok,0,
400,run_12,33732.0,46.791,ok,0,
500,run_13,18942.0,22.239,ok,0,
600,run_14,11164.0,14.889,ok,0,
700,run_15,6898.4,6.5729,ok,0,
800,run_16,4406.9,6.0904,ok,0,
900,run_17,2895.8,2.0665,ok,0,
1000,run_18,1948.3,2.5436,ok,0,
