mass,run_name,cross_section_pb,cross_section_error_pb,status,return_code,mg5_card,stdout_log,stderr_log,results_dat_snapshot,banner_snapshot,process_error_log,note
500,run_06,18960.0,26.377,ok,0,results/top-pseudoscalar-h3t_logs/mass_500.mg5,results/top-pseudoscalar-h3t_logs/mass_500.stdout.log,results/top-pseudoscalar-h3t_logs/mass_500.stderr.log,results/top-pseudoscalar-h3t_logs/mass_500.results.dat,results/top-pseudoscalar-h3t_logs/mass_500.banner.txt,,
1000,run_07,1951.9,2.8289,ok,0,results/top-pseudoscalar-h3t_logs/mass_1000.mg5,results/top-pseudoscalar-h3t_logs/mass_1000.stdout.log,results/top-pseudoscalar-h3t_logs/mass_1000.stderr.log,results/top-pseudoscalar-h3t_logs/mass_1000.results.dat,results/top-pseudoscalar-h3t_logs/mass_1000.banner.txt,,
1500,run_08,349.18,0.4133,ok,0,results/top-pseudoscalar-h3t_logs/mass_1500.mg5,results/top-pseudoscalar-h3t_logs/mass_1500.stdout.log,results/top-pseudoscalar-h3t_logs/mass_1500.stderr.log,results/top-pseudoscalar-h3t_logs/mass_1500.results.dat,results/top-pseudoscalar-h3t_logs/mass_1500.banner.txt,,
