mass,run_name,cross_section_pb,cross_section_error_pb,status,return_code,note
200,run_01,3.0777,0.0042938,ok,0,
300,run_02,1.5446,0.0019013,ok,0,
400,run_03,0.84721,0.0018288,ok,0,
500,run_04,0.50286,0.0011253,ok,0,
600,run_05,0.31446,0.00073344,ok,0,
700,run_06,0.20569,0.00066264,ok,0,
800,run_07,0.14093,0.00034831,ok,0,
900,run_08,0.099283,0.00032847,ok,0,
1000,run_09,0.072276,0.00022378,ok,0,
1100,run_10,0.053737,0.0001271,ok,0,
1200,run_11,0.040676,0.00013929,ok,0,
1300,run_12,0.031439,7.675e-05,ok,0,
1400,run_13,0.024519,6.211e-05,ok,0,
