cut,efficiency,cross_section_pb,yield_450_fb,yield_3000_fb
I,0.842807,0.000043,19.387017,129.246779
II,0.802058,0.000041,18.449675,122.997832
III,0.297295,0.000015,6.838659,45.591057
IV,0.177079,0.000009,4.073345,27.155636
