cut,efficiency,cross_section_pb,yield_450_fb,yield_3000_fb
I,0.820799,1.167906,525557.486946,3503716.579642
II,0.776782,1.105274,497373.251810,3315821.678736
III,0.294058,0.418411,188285.093008,1255233.953387
IV,0.188835,0.268691,120911.113117,806074.087448
