proc,total_events,pass_cut_i_bjet,pass_cut_ii_met,pass_cut_iii_same_sign_dilepton,pass_cut_iv_mll
1,10000,8046,7586,2937,2016
2,10000,8053,7585,3034,2066
3,10000,8456,8023,2912,1459
4,10000,8498,8058,2922,1510
5,10000,8830,8409,3050,2109
6,10000,8806,8374,2902,2043
