cut,efficiency,cross_section_pb,yield_450_fb,yield_3000_fb
I,0.833911,0.000125,56.275249,375.168324
II,0.790260,0.000119,53.329509,355.530057
III,0.296895,0.000045,20.035515,133.570102
IV,0.186379,0.000028,12.577512,83.850081
