proc,total_events,pass_cut_i_bjet,pass_cut_ii_met,pass_cut_iii_same_sign_dilepton,pass_cut_iv_mll
1,10000,8118,7639,3012,2101
2,10000,8183,7720,3141,2132
3,10000,8571,8175,2822,1551
4,10000,8575,8184,2862,1558
5,10000,8923,8608,2882,2212
6,10000,8876,8547,2851,2143
