cut,efficiency,cross_section_pb,yield_450_fb,yield_3000_fb
I,0.812119,0.000458,206.111313,1374.075417
II,0.765059,0.000431,194.167850,1294.452333
III,0.273993,0.000155,69.537965,463.586430
IV,0.112313,0.000063,28.504351,190.029009
