process,proc_1,proc_2,proc_3,proc_4,proc_5,proc_6,total 450/fb,total 3000/fb
total_events,1000,1000,1000,1000,1000,1000,2806.508507,18710.056717
pass_cut_i_bjet,809,820,812,832,896,872,2305.273411,15368.489409
pass_cut_ii_met,751,774,781,791,854,825,2204.447128,14696.314189
pass_cut_iii_same_sign_dilepton,317,315,298,276,309,302,807.976585,5386.510566
pass_cut_iv_mll,224,207,143,131,203,216,387.858994,2585.726624
pass_cut_i_bjet_frac,0.809000,0.820000,0.812000,0.832000,0.896000,0.872000,0.821403,0.821403
pass_cut_ii_met_frac,0.751000,0.774000,0.781000,0.791000,0.854000,0.825000,0.785477,0.785477
pass_cut_iii_same_sign_dilepton_frac,0.317000,0.315000,0.298000,0.276000,0.309000,0.302000,0.287894,0.287894
pass_cut_iv_mll_frac,0.224000,0.207000,0.143000,0.131000,0.203000,0.216000,0.138200,0.138200
