cut,efficiency,cross_section_pb,yield_450_fb,yield_3000_fb
I,0.851472,0.000164,73.868642,492.457610
II,0.811575,0.000156,70.407350,469.382336
III,0.285890,0.000055,24.802113,165.347419
IV,0.154131,0.000030,13.371515,89.143433
