cut,efficiency,cross_section_pb,yield_450_fb,yield_3000_fb
I,0.880857,0.000624,280.641804,1870.945363
II,0.844562,0.000598,269.078230,1793.854867
III,0.276020,0.000195,87.940242,586.268277
IV,0.194624,0.000138,62.007276,413.381837
