process,proc_1,proc_2,proc_3,proc_4,proc_5,proc_6,total 450/fb,total 3000/fb
total_events,1000,1000,1000,1000,1000,1000,425.562288,2837.081919
pass_cut_i_bjet,800,810,840,857,906,885,360.621458,2404.143051
pass_cut_ii_met,757,768,808,829,885,864,347.732078,2318.213856
pass_cut_iii_same_sign_dilepton,274,302,263,287,253,258,116.777587,778.517250
pass_cut_iv_mll,219,238,172,182,201,213,75.474005,503.160035
pass_cut_i_bjet_frac,0.800000,0.810000,0.840000,0.857000,0.906000,0.885000,0.847400,0.847400
pass_cut_ii_met_frac,0.757000,0.768000,0.808000,0.829000,0.885000,0.864000,0.817112,0.817112
pass_cut_iii_same_sign_dilepton_frac,0.274000,0.302000,0.263000,0.287000,0.253000,0.258000,0.274408,0.274408
pass_cut_iv_mll_frac,0.219000,0.238000,0.172000,0.182000,0.201000,0.213000,0.177351,0.177351
