cut,efficiency,cross_section_pb,yield_450_fb,yield_3000_fb
I,0.850277,0.000409,184.159114,1227.727428
II,0.809202,0.000389,175.262851,1168.419006
III,0.293179,0.000141,63.498845,423.325635
IV,0.152705,0.000073,33.073975,220.493168
