process,mass,tanphi,cross section pb,cross section error pb,N events (generated),description
1,3.050000e+02,1.800000e+00,1.633776e-07,5.517431e-10,10000,"p p > t t, (t > b w+, w+ > l+ vl), (t > b w+, w+ > l+ vl)"
2,3.050000e+02,1.800000e+00,1.485038e-07,5.079744e-10,10000,"p p > t~ t~, (t~ > b~ w-, w- > l- vl~), (t~ > b~ w-, w- > l- vl~)"
3,3.050000e+02,1.800000e+00,1.908140e-04,5.391798e-07,10000,"p p > h3 t, (h3 > t c~, (t > b w+, w+ > l+ vl)), (t > b w+, w+ > l+ vl)"
4,3.050000e+02,1.800000e+00,1.716634e-04,6.078511e-07,10000,"p p > h3 t~, (h3 > t~ c, (t~ > b~ w-, w- > l- vl~)), (t~ > b~w-, w- > l- vl~)"
5,3.050000e+02,1.800000e+00,8.822631e-10,3.059768e-12,10000,"p p > h3 h3, (h3 > t c~, (t > b w+, w+ > l+ vl)), (h3 > t c~,(t > b w+, w+ > l+ vl))"
6,3.050000e+02,1.800000e+00,8.266003e-10,3.004883e-12,10000,"p p > h3 h3, (h3 > t~ c, (t~ > b~ w-, w- > l- vl~)), (h3 > t~c, (t~ > b~ w-, w- > l- vl~))"
