proc,total_events,pass_cut_i_bjet,pass_cut_ii_met,pass_cut_iii_same_sign_dilepton,pass_cut_iv_mll
1,10000,7980,7489,2985,1859
2,10000,8100,7634,3099,1844
3,10000,8166,7726,2707,1186
4,10000,8236,7768,2884,1258
5,10000,8326,7902,2769,1744
6,10000,8328,7911,2670,1744
