cut,efficiency,cross_section_pb,yield_450_fb,yield_3000_fb
I,0.819795,0.022979,10340.416886,68936.112575
II,0.774437,0.021707,9768.300235,65122.001570
III,0.279364,0.007831,3523.729573,23491.530488
IV,0.122615,0.003437,1546.588186,10310.587906
