proc,total_events,pass_cut_i_bjet,pass_cut_ii_met,pass_cut_iii_same_sign_dilepton,pass_cut_iv_mll
1,10000,8042,7568,2918,2060
2,10000,8171,7713,3104,2163
3,10000,8535,8089,2823,1532
4,10000,8589,8174,2924,1524
5,10000,8899,8517,2941,2147
6,10000,8914,8550,2895,2103
