cut,efficiency,cross_section_pb,yield_450_fb,yield_3000_fb
I,0.854524,0.000166,74.916482,499.443211
II,0.812091,0.000158,71.196340,474.642268
III,0.289616,0.000056,25.390744,169.271629
IV,0.151253,0.000029,13.260418,88.402786
