m | tanphi | Z_A_450fb | Z_A_3000fb
341 | 0.08 | 2.229651 | 5.756934
341 | 0.1 | 1.261970 | 3.258392
341 | 0.12 | 0.861066 | 2.223263
341 | 10 | 1.279354 | 3.303277
341 | 12 | 1.954370 | 5.046160
341 | 8 | 0.773640 | 1.997530
342 | 0.08 | 1.764561 | 4.556078
342 | 0.1 | 1.000744 | 2.583910
342 | 0.12 | 0.651078 | 1.681077
342 | 10 | 0.965848 | 2.493809
342 | 12 | 1.608926 | 4.154230
342 | 8 | 0.580956 | 1.500021
343 | 0.08 | 1.366217 | 3.527557
343 | 0.1 | 0.721137 | 1.861968
343 | 0.12 | 0.458089 | 1.182779
343 | 10 | 0.738642 | 1.907166
343 | 12 | 1.192394 | 3.078749
343 | 8 | 0.422948 | 1.092046
344 | 0.08 | 1.000744 | 2.583910
344 | 0.1 | 0.493213 | 1.273471
344 | 0.12 | 0.282224 | 0.728699
344 | 10 | 0.493213 | 1.273471
344 | 12 | 0.896009 | 2.313485
344 | 8 | 0.264615 | 0.683233
345 | 0.1 | 0.493213 | 1.273471
345 | 0.14 | 0.194140 | 0.501268
345 | 0.15 | 0.158879 | 0.410223
345 | 0.16 | 0.123601 | 0.319136
345 | 0.2 | 0.088307 | 0.228007
345 | 0.22 | 0.070653 | 0.182426
345 | 0.25 | 0.052996 | 0.136836
345 | 0.3 | 0.035335 | 0.091234
345 | 10 | 0.475653 | 1.228131
345 | 3 | 0.035335 | 0.091234
345 | 4 | 0.052996 | 0.136836
345 | 5 | 0.070653 | 0.182426
345 | 7 | 0.176512 | 0.455751
345 | 9 | 0.352618 | 0.910455
350 | 0.01 | 743.630560 | 1920.045850
350 | 0.1 | 0.352618 | 0.910455
350 | 0.12 | 0.194140 | 0.501268
350 | 0.14 | 0.105956 | 0.273577
350 | 0.16 | 0.070653 | 0.182426
350 | 0.18 | 0.052996 | 0.136836
350 | 0.22 | 0.035335 | 0.091234
350 | 0.8 | 0.000000 | 0.000000
350 | 1 | 0.000000 | 0.000000
350 | 1.2 | 0.000000 | 0.000000
350 | 10 | 0.370206 | 0.955869
350 | 100 | 732.971702 | 1892.524798
350 | 6 | 0.070653 | 0.182426
350 | 7 | 0.105956 | 0.273577
350 | 8 | 0.158879 | 0.410223
350 | 9 | 0.247002 | 0.637758
