cut,efficiency,cross_section_pb,yield_450_fb,yield_3000_fb
I,0.842957,0.000120,54.051275,360.341832
II,0.802334,0.000114,51.446444,342.976293
III,0.292168,0.000042,18.734075,124.893835
IV,0.165482,0.000024,10.610855,70.739036
