proc,total_events,pass_cut_i_bjet,pass_cut_ii_met,pass_cut_iii_same_sign_dilepton,pass_cut_iv_mll
1,10000,8093,7632,2988,2058
2,10000,8145,7680,3094,2164
3,10000,8548,8132,2888,1524
4,10000,8584,8184,2997,1584
5,10000,8905,8544,2907,2118
6,10000,8881,8498,2904,2129
