cut,efficiency,cross_section_pb,yield_450_fb,yield_3000_fb
I,0.846594,0.000470,211.619565,1410.797099
II,0.805526,0.000447,201.353898,1342.359321
III,0.289803,0.000161,72.440935,482.939568
IV,0.159499,0.000089,39.869201,265.794676
