cut,efficiency,cross_section_pb,yield_450_fb,yield_3000_fb
I,0.854666,0.000009,3.891056,25.940376
II,0.814739,0.000008,3.709280,24.728530
III,0.287474,0.000003,1.308788,8.725251
IV,0.154439,0.000002,0.703117,4.687449
